Date,Time Frame,Estuary,Zone,Dissolved oxygen (% saturation),Salinity (psu),pH,Chlorophyll-a (ug/L),"Blue green algae (BGA, ug/L)",Turbidity (NTU),fDOM (RFU),Dissolved nitrogen (ug/L),Total nitrogen (ug/L),Dissolved phosphorus (ug/L),Total phosphorus (ug/L),"Nitrogen oxides (NOx, ug/L)","Ammonia (NH3, ug/L)","Phosphate (PO4 3-, ug/L"
31/10/2017,Pre-fire,Lake Conjola,1,102.1,33,7.97,2.63,5.56,1,3,208.4,326.5,12.34,22.6,1,3,0
31/10/2017,Pre-fire,Lake Conjola,2,104.4,34,8.05,1.5,2.32,0,2,,,,,,,
23/11/2017,Pre-fire,Lake Conjola,1,96.9,33,7.92,2.5,6.15,1,3,,,,,,,
23/11/2017,Pre-fire,Lake Conjola,2,98.1,34,8,1.06,2.39,1,2,,,,,,,
19/12/2017,Pre-fire,Lake Conjola,1,100.3,34,7.8,2.61,3.56,1,4,225.7,287.7,-1.97426,6.388,0.03515,0.2326,0.6248
19/12/2017,Pre-fire,Lake Conjola,2,108.5,34,7.91,1.58,1.73,0,2,,,,,,,
24/01/2018,Pre-fire,Lake Conjola,1,98.5,34,7.88,3.52,4.85,1,3,,,,,,,
24/01/2018,Pre-fire,Lake Conjola,2,99.6,34,7.91,2.79,3.73,0,3,,,,,,,
20/02/2018,Pre-fire,Lake Conjola,2,96.2,35,7.99,9.59,11.55,0,3,,,,,,,
20/02/2018,Pre-fire,Lake Conjola,1,102.6,35,8.01,11.29,11.52,1,3,226.2,155.2,7.96,18.49,0.5178,3.107,1.594
9/03/2018,Pre-fire,Lake Conjola,2,105.5,33,8.01,1.54,1.68,0,3,,,,,,,
9/03/2018,Pre-fire,Lake Conjola,1,106.1,32,7.99,2.57,2.88,1,5,,,,,,,
17/02/2020,Post-fire,Lake Conjola,1,92.5,1,6.61,8.48,17.43,4,34,1200,1200,9,37,420,350,4
17/02/2020,Post-fire,Lake Conjola,2,88.4,5,7.26,29.54,30.92,3,34,,,,,,,
20/01/2020,Post-fire,Lake Conjola,1,81.4,33,7.79,4.57,11.35,1,7,340,410,8,17,19,30,0.5
20/01/2020,Post-fire,Lake Conjola,2,96.3,34,7.79,4.96,12.54,1,7,,,,,,,
2/03/2020,Post-fire,Lake Conjola,1,122.1,26,8.09,5.09,11.08,2,11,280,540,7,27,1,3,2
2/03/2020,Post-fire,Lake Conjola,2,111.1,27,8.1,3.94,8.53,2,9,,,,,,,
23/11/2021,Post-fire,Lake Conjola,1,107.1,28,8.08,7.21,11.81,1,6,200,280,4,14,2,6,1
23/11/2021,Post-fire,Lake Conjola,2,98.3,29,8.11,4.85,8.36,1,5,,,,,,,
12/01/2022,Post-fire,Lake Conjola,1,107.8,1,6.57,6.96,19.12,53,28,600,1000,21,89,120,54,14
12/01/2022,Post-fire,Lake Conjola,2,125.8,14,7.92,4.58,10.95,3,16,,,,,,,
10/02/2022,Post-fire,Lake Conjola,1,96.6,15,7.97,2.24,3.63,1,12,,,,,,,
10/02/2022,Post-fire,Lake Conjola,2,96.4,15,7.97,2.48,3.99,1,11,,,,,,,
1/02/2023,Post-fire,Lake Conjola,1,96.1,13,7.9948,3.650266667,6.932266667,8,16,,,,,,,
1/02/2023,Post-fire,Lake Conjola,2,97.6,16,8.2,3.1125,6.275,12,14,,,,,,,
10/12/2013,Pre-fire,Durras Lake,1,104,30,7.97,2.86,0.31,10.72,5.94,,238,350,3.8,17.9,0.5411,3.639
10/12/2013,Pre-fire,Durras Lake,2,99,29,8.01,1.08,0.2,4.51,6.19,,,,,,,
13/01/2014,Pre-fire,Durras Lake,1,97,35,8.02,1.93,0.15,9.01,3.91,1.55,209,308,5.9,21.5,0.3663,1.25437
13/01/2014,Pre-fire,Durras Lake,2,97,35,8.02,1.79,0.31,6.14,2.89,1.55,,,,,,
11/02/2014,Pre-fire,Durras Lake,1,87,37,8.14,5.4,7.6,11.25,4.36,,242,431,6.6,34.4,0,0
11/02/2014,Pre-fire,Durras Lake,2,91,37,8.16,4.78,5.8,5.13,2.91,,,,,,,
3/03/2014,Pre-fire,Durras Lake,1,111,38,8.28,1.21,-0.42,4.64,3.39,,244,433,5.9,30.8,0.0851,0.181
3/03/2014,Pre-fire,Durras Lake,2,105,37,8.24,1.24,0.62,5.05,0.52,,,,,,,
24/03/2014,Pre-fire,Durras Lake,1,92,38,8.33,8.94,17.84,11.05,3.85,,277,512,13,44.1,0.06535,0.327
